Primary Ray Stage;Intersection Stage;Color Stage;;
0,662556;3,044019;11,159833;;0,13731
0,137667;2,455926;10,066667;;2,45662
0,137444;2,455648;10,077259;;10,07725
0,136444;2,457315;10,081926;;
0,137222;2,456278;10,080463;;
0,138556;2,454611;10,081296;;
0,138222;2,455444;10,083315;;
0,136889;2,45587;10,083981;;
0,136667;2,455444;10,084333;;
0,136667;2,454722;10,082648;;
0,137333;2,457093;10,082333;;
0,137667;2,455296;10,114259;;
0,137778;2,455907;10,076556;;
0,137222;2,454796;10,077074;;
0,135556;2,484685;10,077463;;
0,136778;2,45637;10,0775;;
0,137333;2,453981;10,079519;;
0,137778;2,455167;10,072519;;
0,137667;2,455259;10,071167;;
0,137778;2,455889;10,07187;;
0,137444;2,457185;10,064278;;
0,137333;2,454722;10,068667;;
0,137778;2,456;10,07463;;
0,137889;2,455741;10,078444;;
0,136222;2,45587;10,082259;;
0,137333;2,455889;10,082963;;
0,136111;2,455537;10,079611;;
0,135667;2,455741;10,082167;;
0,137667;2,456815;10,082241;;
0,137556;2,457111;10,083056;;
0,138111;2,456222;10,08063;;
0,137444;2,457241;10,082093;;
0,137889;2,45563;10,077741;;
0,136444;2,454704;10,076852;;
0,137333;2,464148;10,080685;;
0,138111;2,456259;10,078815;;
0,135;2,455204;10,075593;;
0,138111;2,457056;10,072889;;
0,137667;2,454667;10,071759;;
0,137111;2,456259;10,072704;;
0,137556;2,455889;10,064852;;
0,137556;2,456759;10,063685;;
0,137556;2,453926;10,06913;;
0,136333;2,455778;10,076296;;
0,137778;2,455778;10,079148;;
0,138;2,45637;10,080611;;
0,138111;2,454648;10,082815;;
0,137222;2,454741;10,081556;;
0,137556;2,465037;10,082463;;
0,137222;2,455815;10,082981;;
0,137444;2,456315;10,081185;;
0,137778;2,455167;10,078556;;
0,134778;2,456778;10,076852;;
0,136;2,455463;10,076296;;
0,137333;2,456037;10,075722;;
0,137889;2,456278;10,075704;;
0,137;2,454815;10,075481;;
0,137333;2,456222;10,07487;;
0,137667;2,456463;10,071;;
0,137667;2,455519;10,072278;;
0,138222;2,455722;10,065037;;
0,137667;2,455167;10,063204;;
0,136444;2,456111;10,067315;;
0,137778;2,455352;10,076704;;
0,137222;2,456556;10,080574;;
0,137778;2,456222;10,081148;;
0,137222;2,457667;10,081648;;
0,137333;2,456093;10,083241;;
0,137556;2,45513;10,080963;;
0,137778;2,456148;10,081315;;
0,138222;2,487704;10,083315;;
0,137222;2,455981;10,077574;;
0,138111;2,455648;10,077222;;
0,137333;2,458259;10,081241;;
0,138;2,455611;10,080907;;
0,137889;2,456556;10,076556;;
0,136889;2,455944;10,07563;;
0,138556;2,455667;10,076926;;
0,136667;2,455278;10,071444;;
0,138;2,457667;10,075796;;
0,137778;2,455852;10,07387;;
0,136667;2,455685;10,062019;;
0,136444;2,457185;10,065426;;
0,136667;2,455778;10,071815;;
0,138333;2,456611;10,077815;;
0,136889;2,455667;10,081796;;
0,135889;2,455611;10,0825;;
0,137556;2,456389;10,080537;;
0,138;2,455519;10,081148;;
0,136889;2,455889;10,08213;;
0,137778;2,455907;10,083907;;
0,136667;2,454926;10,082722;;
0,138;2,456;10,079944;;
0,137667;2,455407;10,080056;;
0,138333;2,455185;10,079;;
0,134778;2,455167;10,077593;;
0,137556;2,455815;10,077963;;
0,136333;2,455426;10,077704;;
0,137556;2,455333;10,072722;;
0,138;2,45613;10,074852;;
0,136889;2,455722;10,07263;;
0,138333;2,456833;10,069278;;
0,137111;2,455222;10,063833;;
0,135556;2,45837;10,071333;;
0,138111;2,454056;10,076074;;
0,136333;2,454593;10,081093;;
0,290444;2,458222;10,082796;;
0,137444;2,455741;10,082648;;
0,137;2,455537;10,079907;;
0,137778;2,456056;10,083981;;
0,136778;2,4555;10,080167;;
0,137333;2,455519;10,079926;;
0,138222;2,456648;10,07863;;
0,137889;2,455611;10,077167;;
0,137111;2,45587;10,106704;;
0,137556;2,454333;10,075981;;
0,136333;2,456352;10,075704;;
0,138111;2,456315;10,074667;;
0,137222;2,457278;10,075944;;
0,137111;2,455167;10,074667;;
0,137778;2,455093;10,06913;;
0,137444;2,455296;10,06687;;
0,137444;2,454796;10,062759;;
0,137889;2,455963;10,066796;;
