Primary Ray Stage;Intersection Stage;Color Stage;;
1,672667;5,428167;5,410389;;0,24273
0,282778;2,824111;3,056944;;2,44528
0,245222;2,440722;3,057444;;3,05162
0,243111;2,443111;3,051167;;
0,245444;2,438278;3,052444;;
0,244778;2,440111;3,041444;;
0,241667;2,437167;3,053278;;
0,241667;2,4435;3,047;;
0,240556;2,445111;3,040111;;
0,246556;2,444333;3,042;;
0,244111;2,439;3,061167;;
0,242556;2,431389;3,043;;
0,243222;2,437111;3,049944;;
0,240444;2,443722;3,052611;;
0,241889;2,441556;3,047556;;
0,241222;2,4345;3,049056;;
0,242778;2,437833;3,043889;;
0,244444;2,446;3,248111;;
0,244778;2,443889;3,047667;;
0,242889;2,438778;3,072778;;
0,245778;2,440833;3,047389;;
0,239333;2,439056;3,046611;;
0,242111;2,442111;3,058;;
0,243111;2,444111;3,044111;;
0,242222;2,447778;3,053167;;
0,247556;2,439889;3,046278;;
0,242111;2,440722;3,050722;;
0,238222;2,436889;3,044;;
0,238889;2,439389;3,048167;;
0,241;2,435611;3,070278;;
0,242222;2,440556;3,058667;;
0,241778;2,440389;3,047722;;
0,246889;2,435111;3,048056;;
0,240889;2,437111;3,060944;;
0,241667;2,438389;3,057667;;
0,243111;2,4395;3,046611;;
0,241667;2,434278;3,059333;;
0,242444;2,439278;3,055222;;
0,24;2,439889;3,042833;;
0,244889;2,442778;3,044278;;
0,240889;2,441111;3,055278;;
0,247;2,443944;3,045222;;
0,241111;2,436833;3,052944;;
0,242667;2,440944;3,042167;;
0,245222;2,440889;3,053;;
0,244222;2,448333;3,044167;;
0,243;2,436833;3,046111;;
0,241444;2,442056;3,044611;;
0,245;2,438889;3,049056;;
0,240222;2,439389;3,040444;;
0,242667;2,441333;3,043389;;
0,239444;2,437056;3,046667;;
0,242;2,4435;3,055611;;
0,244;2,443167;3,056611;;
0,246;2,437556;3,036444;;
0,243333;2,441222;3,059889;;
0,242111;2,444389;3,0615;;
0,239;2,440444;3,052778;;
0,241556;2,439;3,041667;;
0,246;2,442278;3,048389;;
0,240889;2,444;3,049056;;
0,244556;2,443556;3,048056;;
0,241778;2,447389;3,055611;;
0,242667;2,443389;3,037556;;
0,241444;2,606778;3,0535;;
0,244778;2,442667;3,041722;;
0,244222;2,440889;3,051167;;
0,245444;2,441556;3,064167;;
0,242556;2,446167;3,044944;;
0,242778;2,443611;3,050444;;
0,238667;2,445833;3,044944;;
0,242222;2,437389;3,052667;;
0,246778;2,443167;3,055389;;
0,241667;2,438222;3,046556;;
0,242111;2,436278;3,043778;;
0,242222;2,434056;3,047222;;
0,239444;2,443944;3,054889;;
0,241222;2,437722;3,052556;;
0,239889;2,444111;3,053333;;
0,245556;2,441722;3,044944;;
0,247667;2,434611;3,042667;;
0,244889;2,437722;3,039667;;
0,24;2,589556;3,044444;;
0,240222;2,442722;3,045556;;
0,238778;2,438944;3,075611;;
0,242333;2,439667;3,048722;;
0,245333;2,439389;3,05;;
0,246222;2,438222;3,051833;;
0,241111;2,4385;3,054556;;
0,242;2,435444;3,046056;;
0,243778;2,440611;3,059667;;
