Primary Ray Stage;Intersection Stage;Color Stage
-1.000000;0.090688;0.107275
0.113984;0.118885;0.138464
5.756544;30.878704;64.628965
6.635712;31.954587;65.236901
5.491680;22.286752;65.403392
5.563264;19.682400;71.408192
5.543712;24.034336;72.358368
6.327744;22.281632;71.259520
6.404864;-1.000000;71.086688
6.470624;22.392160;71.650176
5.516384;22.521504;72.301824
5.545504;22.749280;71.663200
5.473248;20.167552;69.911552
5.590752;19.586208;71.045536
5.886944;20.577472;71.198976
5.945024;23.992288;71.072320
5.505184;21.170112;72.244448
5.482848;23.621888;71.894784
5.563008;24.179264;71.913376
5.552736;22.096512;71.545440
5.499200;21.989248;71.489120
5.996832;20.581504;71.366112
5.930624;21.541952;71.452768
5.812800;21.153248;71.351456
5.823328;20.857792;71.781888
5.989984;20.719776;71.764224
5.918944;21.533504;72.052576
6.031424;21.413856;71.912864
5.568192;22.244032;71.547808
5.573120;23.931904;71.584928
-1.000000;21.651616;71.367552
5.604704;22.632032;71.589440
5.891712;20.912416;70.982432
5.602624;19.646272;70.332672
6.347264;21.582848;71.182848
5.478336;20.556256;71.247872
5.890432;23.293984;71.496224
5.843456;20.845920;72.345760
5.792640;20.021984;72.191808
5.723264;20.991776;71.648000
6.029024;20.536928;72.245152
5.991552;20.162688;71.939968
5.831776;19.834112;71.822176
5.817664;21.364416;72.645344
5.949504;19.968096;72.417312
5.946944;20.308384;71.852704
5.795872;19.318560;72.188736
5.950688;19.444960;72.151584
5.951328;19.751904;71.814880
5.814272;19.586528;72.153856
5.877120;19.835488;72.024576
5.973504;19.321344;-1.000000
5.726624;21.968384;71.164736
5.581024;22.392672;70.290208
5.586592;19.725472;71.134752
5.948256;19.983648;71.938112
5.779168;19.056480;71.750464
5.875232;20.438944;71.803296
5.941216;20.141760;71.992448
5.887232;20.564192;71.775232
5.835648;21.245952;71.925280
5.936736;19.791008;71.566464
5.848736;19.292160;72.011648
5.786656;19.953664;71.516064
6.013664;20.086592;72.423520
5.900192;20.414208;71.858496
5.914464;20.366176;71.682240
6.023744;20.773760;71.528960
5.461920;22.578368;71.775200
5.464576;20.840576;71.669664
5.512000;20.437632;71.492768
5.495328;22.856480;71.502368
6.366336;21.249280;71.495776
6.479232;-1.000000;70.314816
6.798656;23.505952;70.440256
6.419552;20.455904;71.319552
6.528384;22.986528;70.262464
5.797632;20.793568;71.967104
5.920192;21.203200;72.219520
